title,authors,categories,published_year,average_rating,num_pages,ratings_count
De Profundis and Other Writings,Oscar Wilde,Fiction,1973.0,4.21,252.0,2253.0
Redburn,Herman Melville,Fiction,1976.0,3.61,448.0,522.0
The Law and the Lady,Wilkie Collins,Fiction,1998.0,3.8,383.0,114.0
Martin Chuzzlewit,Charles Dickens,Fiction,1999.0,3.83,830.0,12722.0
A Journal of the Plague Year,Daniel Defoe,Fiction,2003.0,3.53,289.0,3471.0
A Christmas Carol and Other Christmas Writings,Charles Dickens,Fiction,2003.0,4.13,288.0,29719.0
The Wasps,Aristophanes,Drama,1964.0,3.95,224.0,372.0
Notes from Underground,Fyodor Dostoyevsky,Fiction,1972.0,4.2,287.0,4537.0
The Oresteia,Aeschylus,Drama,1984.0,4.01,335.0,27759.0
The Brothers Karamazov,Fyodor Dostoyevsky,Fiction,2003.0,4.32,1013.0,1497.0
The Women's War,Alexandre Dumas,Fiction,2006.0,3.95,546.0,288.0
The Sonnets,William Shakespeare,Drama,2001.0,4.25,164.0,345.0
Hamlet,William Shakespeare,Drama,2001.0,4.01,148.0,1605.0
A Midsummer Night's Dream,William Shakespeare,Drama,2000.0,3.94,144.0,984.0
Sammlung,William Shakespeare,Drama,2002.0,4.59,1808.0,559.0
Under The Duvet,Marian Keyes,Fiction,2002.0,3.51,304.0,386.0
You Shall Know Our Velocity,Dave Eggers,Fiction,2004.0,3.63,350.0,255.0
Finding time again,Marcel Proust,Fiction,2003.0,4.48,374.0,168.0
Vineland,Thomas Pynchon,Fiction,1997.0,3.68,385.0,668.0
The Wife,Sigrid Undset,Fiction,1999.0,4.15,402.0,1977.0
Mrs Dalloway,Virginia Woolf,Fiction,2000.0,3.79,233.0,2128.0
Ulysses,James Joyce,Fiction,2000.0,3.74,933.0,1447.0
A Room of One's Own,Virginia Woolf,Fiction,2002.0,4.13,112.0,73875.0
Tender is the Night,F. Scott Fitzgerald,Fiction,2001.0,3.82,400.0,1278.0
Keep the Aspidistra Flying,George Orwell,Fiction,2000.0,3.88,277.0,11220.0
The Dharma Bums,Jack Kerouac,Fiction,2000.0,3.93,204.0,1295.0
The Subterraneans,Jack Kerouac,Fiction,2001.0,3.68,192.0,416.0
Tortilla Flat,John Steinbeck,Fiction,2000.0,3.83,154.0,419.0
Orwell in Spain,George Orwell,Fiction,2001.0,4.33,416.0,203.0
The Years,Virginia Woolf,Fiction,2002.0,3.77,444.0,2712.0
Go Tell it on the Mountain,James Baldwin,Fiction,2001.0,4.01,256.0,33558.0
"The Sea, the Sea",Iris Murdoch,Fiction,2001.0,3.92,528.0,12428.0
A Fairly Honourable Defeat,Iris Murdoch,Fiction,2001.0,3.94,432.0,1353.0
Giovanni's Room,James Baldwin,Fiction,2001.0,4.23,159.0,35090.0
The Bell,Iris Murdoch,Fiction,2001.0,3.88,296.0,4502.0
The Duplicate,William Sleator,Juvenile Fiction,1999.0,3.68,154.0,476.0
The Beasties,William Sleator,Juvenile Fiction,1999.0,3.84,208.0,802.0
Skin and Other Stories,Roald Dahl,Juvenile Fiction,2002.0,4.06,224.0,5245.0
Westmark,Lloyd Alexander,Juvenile Fiction,2002.0,3.92,184.0,4049.0
The Kestrel,Lloyd Alexander,Juvenile Fiction,2002.0,3.99,244.0,2674.0
Pride and Prejudice,Jane Austen,Fiction,2003.0,4.25,480.0,11552.0
Emma,Jane Austen,Fiction,2002.0,3.99,474.0,519245.0
A Tale of Two Cities,Charles Dickens,Fiction,2003.0,3.83,489.0,693045.0
The Woman in White,Wilkie Collins,Fiction,2003.0,3.99,672.0,104614.0
The Mill on the Floss,George Eliot,Fiction,2003.0,3.79,579.0,40763.0
The Portrait of a Lady,Henry James,Fiction,2003.0,3.77,797.0,60027.0
Mansfield Park,Jane Austen,Fiction,2003.0,3.85,507.0,234760.0
Robinson Crusoe,Daniel Defoe,Fiction,2003.0,3.67,286.0,1415.0
The Turn of the Screw and The Aspern Papers,Henry James,Fiction,2003.0,3.79,272.0,6652.0
Little Dorrit,Charles Dickens,Fiction,2003.0,3.98,1021.0,38158.0
"Moby-Dick, Or, The Whale",Herman Melville,Fiction,2001.0,3.49,625.0,999.0
East of Eden,John Steinbeck,Fiction,2002.0,4.37,601.0,358668.0
Cannery Row,John Steinbeck,Fiction,2002.0,4.03,181.0,92582.0
Salt,Mark Kurlansky,History,2003.0,3.74,484.0,46854.0
Youth,J. M. Coetzee,Fiction,2003.0,3.79,176.0,4722.0
Drop City,T. Coraghessan Boyle,Fiction,2004.0,3.85,497.0,10071.0
Voice of the Violin,Andrea Camilleri,Fiction,2004.0,4.03,249.0,3669.0
Nuns and Soldiers,Iris Murdoch,Fiction,2002.0,3.93,512.0,489.0
The Philadelphia Adventure,Lloyd Alexander,Juvenile Fiction,2002.0,3.88,150.0,564.0
A Robin McKinley Collection,Robin McKinley,Juvenile Fiction,2002.0,4.39,1008.0,504.0
Moon-Flash,Patricia A. McKillip,Juvenile Fiction,2005.0,3.73,304.0,340.0
Charlie and the Chocolate Factory,Roald Dahl,Juvenile Fiction,2005.0,3.86,40.0,12.0
I'm Afraid You've Got Dragons,Peter S. Beagle,Juvenile Fiction,2007.0,4.1,224.0,10.0
A Little Princess,Frances Hodgson Burnett,Fiction,2002.0,4.19,242.0,232387.0
On the Road,Jack Kerouac,Fiction,2002.0,3.63,307.0,3194.0
The Power and the Glory,Graham Greene,Fiction,2003.0,3.99,222.0,24309.0
The Portable Arthur Miller,Arthur Miller,Drama,2003.0,4.19,575.0,228.0
Aleph and other stories,Jorge Luis Borges;Andrew Hurley,Fiction,2000.0,4.38,210.0,19310.0
A Universal History of Iniquity,Jorge Luis Borges;Andrew Hurley,Fiction,2004.0,3.97,128.0,2967.0
Stamboul Train,Graham Greene,Fiction,2004.0,3.46,197.0,1930.0
Excursion to Tindari,Andrea Camilleri,Fiction,2005.0,4.03,304.0,3174.0
On the Road,Jack Kerouac,Fiction,2005.0,3.63,320.0,480.0
Tooth and Claw,T. Coraghessan Boyle,Fiction,2006.0,3.82,304.0,1165.0
Rounding the Mark,Andrea Camilleri,Fiction,2006.0,4.06,272.0,2445.0
The Joy Luck Club,Amy Tan,Fiction,2006.0,3.91,288.0,550264.0
